단지명,회사명,"공장대표주소(지번, 도로명 주소)",매핑된 업종명
화성동탄일반산업단지,이레산업기계,경기도 화성시 방교동 837-7,기타
화성동탄일반산업단지,이레이엔지 주식회사,경기도 화성시 방교동 838-8,기타
화성동탄일반산업단지,이룸기술(주),경기도 화성시 방교동 797-2번지,기타
화성동탄일반산업단지,이화다이아몬드공업(주),경기도 화성시 동탄면 송리 277-2번지,기타
화성동탄일반산업단지,장수정밀,경기도 화성시 방교동 874-2번지,기타
화성동탄일반산업단지,제이씨엘테크(주),경기도 화성시 방교동 797-9,전기전자
화성동탄일반산업단지,제이엠아이(주),경기도 화성시 방교동 827-4번지,목재종이출판
화성동탄일반산업단지,제일이엔지,경기도 화성시 방교동 840-1,기타
화성동탄일반산업단지,주식회사 비앤피디,경기도 화성시 방교동 803-3,기타
화성동탄일반산업단지,주식회사 시노펙스바이오필터,경기도 화성시 방교동 875-4,기타
화성동탄일반산업단지,주식회사 쓰리디엠,경기도 화성시 방교동 837-5,전기전자
화성동탄일반산업단지,주식회사 알프스,경기도 화성시 방교동 875-10,전기전자
화성동탄일반산업단지,주식회사 이솔 ,경기도 화성시 방교동 783-3번지,전기전자
화성동탄일반산업단지,주식회사 일산,경기도 화성시 방교동 837-5번지,전기전자
화성동탄일반산업단지,주식회사 피케이아이,경기도 화성시 방교동 784-1번지,전기전자
화성동탄일반산업단지,지에이에셋코리아(주),경기도 화성시 송동 507번지,기타
화성동탄일반산업단지,지이티시스템(주),경기도 화성시 방교동 826-7번지,전기전자
화성동탄일반산업단지,진성정밀,경기도 화성시 방교동 832-12,전기전자
화성동탄일반산업단지,천공도크(주),경기도 화성시 방교동 840-5,기타
화성동탄일반산업단지,청송테크노,경기도 화성시 방교동 838-9,기타
화성동탄일반산업단지,카츠라기코리아(주),경기도 화성시 방교동 849-10번지,기타
화성동탄일반산업단지,칸트론(주),경기도 화성시 방교동 839-6,전기전자
화성동탄일반산업단지,컴테크써지(주),경기도 화성시 방교동 839-3번지,전기전자
화성동탄일반산업단지,케이티우드,경기도 화성시 방교동 843-1,기타
화성동탄일반산업단지,케이프라자,경기도 화성시 방교동 779-1번지,기타
화성동탄일반산업단지,코닉오토메이션(주),경기도 화성시 방교동 874-10,전기전자
화성동탄일반산업단지,코닉오토메이션(주),경기도 화성시 방교동 824-8,기타
화성동탄일반산업단지,코오롱인더스트리(주),경기도 화성시 방교동 782,기타
화성동탄일반산업단지,크레플(주),경기도 화성시 방교동 841-2번지,기타
화성동탄일반산업단지,타임프로토,경기도 화성시 방교동 798-11,위험물등
화성동탄일반산업단지,태양정밀,경기도 화성시 방교동 800-7,기타
화성동탄일반산업단지,투스템(주),경기도 화성시 방교동 838-4번지,전기전자
화성동탄일반산업단지,파이니스트(주),경기도 화성시 방교동 796-1,기타
화성동탄일반산업단지,팸텍(주),경기도 화성시 방교동 824-5번지,전기전자
화성동탄일반산업단지,팸텍(주),경기도 화성시 방교동 832-9,전기전자
화성동탄일반산업단지,하나레이저테크(주) ,경기도 화성시 방교동 781-2번지,기타
화성동탄일반산업단지,하나산업(주),경기도 화성시 방교동 842-4번지,전기전자
화성동탄일반산업단지,하나산업(주),경기도 화성시 방교동 796-2번지,기타
